ICD-9,DiseaseName
71959,"Stiffness of joint, not elsewhere classified, multiple sites "
71960,"Other symptoms referable to joint, site unspecified "
71961,"Other symptoms referable to joint, shoulder region "
71962,"Other symptoms referable to joint, upper arm "
71963,"Other symptoms referable to joint, forearm "
71964,"Other symptoms referable to joint, hand "
71965,"Other symptoms referable to joint, pelvic region and thigh "
71966,"Other symptoms referable to joint, lower leg "
71967,"Other symptoms referable to joint, ankle and foot "
71968,"Other symptoms referable to joint, other specified sites "
71969,"Other symptoms referable to joint, multiple sites "
7197, Difficulty in walking 
71980,"Other specified disorders of joint, site unspecified "
71981,"Other specified disorders of joint, shoulder region "
71982,"Other specified disorders of joint, upper arm "
71983,"Other specified disorders of joint, forearm "
71984,"Other specified disorders of joint, hand "
71985,"Other specified disorders of joint, pelvic region and thigh "
71986,"Other specified disorders of joint, lower leg "
71987,"Other specified disorders of joint, ankle and foot "
71988,"Other specified disorders of joint, other specified sites "
71989,"Other specified disorders of joint, multiple sites "
71990,"Unspecified disorder of joint, site unspecified "
71991,"Unspecified disorder of joint, shoulder region "
71992,"Unspecified disorder of joint, upper arm "
71993,"Unspecified disorder of joint, forearm "
71994,"Unspecified disorder of joint, hand "
71995,"Unspecified disorder of joint, pelvic region and thigh "
71996,"Unspecified disorder of joint, lower leg "
71997,"Unspecified disorder of joint, ankle and foot "
71998,"Unspecified disorder of joint, other specified sites "
71999,"Unspecified disorder of joint, multiple sites "
7200, Ankylosing spondylitis 
7201, Spinal enthesopathy 
7202," Sacroiliitis, not elsewhere classified "
72081,Inflammatory spondylopathies in diseases classified elsewhere 
72089,Other inflammatory spondylopathies 
7209, Unspecified inflammatory spondylopathy 
7210, Cervical spondylosis without myelopathy 
7211, Cervical spondylosis with myelopathy 
7212, Thoracic spondylosis without myelopathy 
7213, Lumbosacral spondylosis without myelopathy 
72141,"Spondylosis with myelopathy, thoracic region "
72142,"Spondylosis with myelopathy, lumbar region "
7215, Kissing spine 
7216, Ankylosing vertebral hyperostosis 
7217, Traumatic spondylopathy 
7218, Other allied disorders of spine 
72190,"Spondylosis of unspecified site, without mention of myelopathy "
72191,"Spondylosis of unspecified site, with myelopathy "
7220, Displacement of cervical intervertebral disc without myelopathy 
72210,Displacement of lumbar intervertebral disc without myelopathy 
72211,Displacement of thoracic intervertebral disc without myelopathy 
7222," Displacement of intervertebral disc, site unspecified, without myelopathy "
72230,"Schmorl's nodes, unspecified region "
72231,"Schmorl's nodes, thoracic region "
72232,"Schmorl's nodes, lumbar region "
72239,"Schmorl's nodes, other region "
7224, Degeneration of cervical intervertebral disc 
72251,Degeneration of thoracic or thoracolumbar intervertebral disc 
72252,Degeneration of lumbar or lumbosacral intervertebral disc 
7226," Degeneration of intervertebral disc, site unspecified "
72270,"Intervertebral disc disorder with myelopathy, unspecified region "
72271,"Intervertebral disc disorder with myelopathy, cervical region "
72272,"Intervertebral disc disorder with myelopathy, thoracic region "
72273,"Intervertebral disc disorder with myelopathy, lumbar region "
72280,"Postlaminectomy syndrome, unspecified region "
72281,"Postlaminectomy syndrome, cervical region "
72282,"Postlaminectomy syndrome, thoracic region "
72283,"Postlaminectomy syndrome, lumbar region "
72290,"Other and unspecified disc disorder, unspecified region "
72291,"Other and unspecified disc disorder, cervical region "
72292,"Other and unspecified disc disorder, thoracic region "
72293,"Other and unspecified disc disorder, lumbar region "
7230, Spinal stenosis in cervical region 
7231, Cervicalgia 
7232, Cervicocranial syndrome 
7233, Cervicobrachial syndrome (diffuse) 
7234, Brachial neuritis or radiculitis NOS 
7235," Torticollis, unspecified "
7236, Panniculitis specified as affecting neck 
7237, Ossification of posterior longitudinal ligament in cervical region 
7238, Other syndromes affecting cervical region 
7239, Unspecified musculoskeletal disorders and symptoms referable to neck 
72400,"Spinal stenosis, unspecified region "
72401,"Spinal stenosis, thoracic region "
72402,"Spinal stenosis, lumbar region, without neurogenic claudication "
72403,"Spinal stenosis, lumbar region, with neurogenic claudication "
72409,"Spinal stenosis, other region "
7241, Pain in thoracic spine 
7242, Lumbago 
7243, Sciatica 
7244," Thoracic or lumbosacral neuritis or radiculitis, unspecified "
7245," Backache, unspecified "
7246, Disorders of sacrum 
72470,Unspecified disorder of coccyx 
72471,Hypermobility of coccyx 
72479,Other disorders of coccyx 
7248, Other symptoms referable to back 
7249, Other unspecified back disorders 
725,  Polymyalgia rheumatica 
7260, Adhesive capsulitis of shoulder 
72610,"Disorders of bursae and tendons in shoulder region, unspecified "
72611,Calcifying tendinitis of shoulder 
72612,Bicipital tenosynovitis 
72613,Partial tear of rotator cuff 
72619,Other specified disorders of bursae and tendons in shoulder region 
7262," Other affections of shoulder region, not elsewhere classified "
72630,"Enthesopathy of elbow, unspecified "
72631,Medial epicondylitis 
72632,Lateral epicondylitis 
72633,Olecranon bursitis 
72639,Other enthesopathy of elbow region 
7264, Enthesopathy of wrist and carpus 
7265, Enthesopathy of hip region 
72660,"Enthesopathy of knee, unspecified "
72661,Pes anserinus tendinitis or bursitis 
72662,Tibial collateral ligament bursitis 
72663,Fibular collateral ligament bursitis 
72664,Patellar tendinitis 
72665,Prepatellar bursitis 
72669,Other enthesopathy of knee 
72670,"Enthesopathy of ankle and tarsus, unspecified "
72671,Achilles bursitis or tendinitis 
72672,Tibialis tendinitis 
72673,Calcaneal spur 
72679,Other enthesopathy of ankle and tarsus 
7268, Other peripheral enthesopathies 
72690,Enthesopathy of unspecified site 
72691,Exostosis of unspecified site 
72700,"Synovitis and tenosynovitis, unspecified "
72701,Synovitis and tenosynovitis in diseases classified elsewhere 
72702,Giant cell tumor of tendon sheath 
72703,Trigger finger (acquired) 
72704,Radial styloid tenosynovitis 
72705,Other tenosynovitis of hand and wrist 
72706,Tenosynovitis of foot and ankle 
72709,Other synovitis and tenosynovitis 
7271, Bunion 
7272, Specific bursitides often of occupational origin 
7273, Other bursitis 
72740,"Synovial cyst, unspecified "
72741,Ganglion of joint 
72742,Ganglion of tendon sheath 
72743,"Ganglion, unspecified "
72749,"Other ganglion and cyst of synovium, tendon, and bursa "
72750,"Rupture of synovium, unspecified "
72751,Synovial cyst of popliteal space 
72759,Other rupture of synovium 
72760,Nontraumatic rupture of unspecified tendon 
72761,Complete rupture of rotator cuff 
72762,Nontraumatic rupture of tendons of biceps (long head) 
72763,Nontraumatic rupture of extensor tendons of hand and wrist 
72764,Nontraumatic rupture of flexor tendons of hand and wrist 
72765,Nontraumatic rupture of quadriceps tendon 
72766,Nontraumatic rupture of patellar tendon 
72767,Nontraumatic rupture of achilles tendon 
72768,Nontraumatic rupture of other tendons of foot and ankle 
72769,Nontraumatic rupture of other tendon 
72781,Contracture of tendon (sheath) 
72782,Calcium deposits in tendon and bursa 
72783,Plica syndrome 
72789,"Other disorders of synovium, tendon, and bursa "
7279," Unspecified disorder of synovium, tendon, and bursa "
7280, Infective myositis 
72810,"Calcification and ossification, unspecified "
72811,Progressive myositis ossificans 
72812,Traumatic myositis ossificans 
72813,Postoperative heterotopic calcification 
72819,Other muscular calcification and ossification 
7282," Muscular wasting and disuse atrophy, not elsewhere classified "
7283, Other specific muscle disorders 
7284, Laxity of ligament 
7285, Hypermobility syndrome 
7286, Contracture of palmar fascia 
72871,Plantar fascial fibromatosis 
72879,"Other fibromatoses of muscle, ligament, and fascia "
72881,Interstitial myositis 
72882,Foreign body granuloma of muscle 
72883,"Rupture of muscle, nontraumatic "
72884,Diastasis of muscle 
72885,Spasm of muscle 
72886,Necrotizing fasciitis 
72887,Muscle weakness (generalized) 
72888,Rhabdomyolysis 
72889,"Other disorders of muscle, ligament, and fascia "
7289," Unspecified disorder of muscle, ligament, and fascia "
7290," Rheumatism, unspecified and fibrositis "
7291," Myalgia and myositis, unspecified "
7292," Neuralgia, neuritis, and radiculitis, unspecified "
72930,"Panniculitis, unspecified site "
72931,"Hypertrophy of fat pad, knee "
72939,"Panniculitis, other site "
7294," Fasciitis, unspecified "
7295, Pain in limb 
7296, Residual foreign body in soft tissue 
72971,Nontraumatic compartment syndrome of upper extremity 
72972,Nontraumatic compartment syndrome of lower extremity 
72973,Nontraumatic compartment syndrome of abdomen 
72979,Nontraumatic compartment syndrome of other sites 
72981,Swelling of limb 
72982,Cramp of limb 
72989,Other musculoskeletal symptoms referable to limbs 
72990,"Disorders of soft tissue, unspecified "
72991,Post-traumatic seroma 
72992,Nontraumatic hematoma of soft tissue 
72999,Other disorders of soft tissue 
73000,"Acute osteomyelitis, site unspecified "
73001,"Acute osteomyelitis, shoulder region "
73002,"Acute osteomyelitis, upper arm "
73003,"Acute osteomyelitis, forearm "
73004,"Acute osteomyelitis, hand "
73005,"Acute osteomyelitis, pelvic region and thigh "
73006,"Acute osteomyelitis, lower leg "
73007,"Acute osteomyelitis, ankle and foot "
73008,"Acute osteomyelitis, other specified sites "
73009,"Acute osteomyelitis, multiple sites "
73010,"Chronic osteomyelitis, site unspecified "
73011,"Chronic osteomyelitis, shoulder region "
73012,"Chronic osteomyelitis, upper arm "
73013,"Chronic osteomyelitis, forearm "
73014,"Chronic osteomyelitis, hand "
73015,"Chronic osteomyelitis, pelvic region and thigh "
73016,"Chronic osteomyelitis, lower leg "
73017,"Chronic osteomyelitis, ankle and foot "
73018,"Chronic osteomyelitis, other specified sites "
73019,"Chronic osteomyelitis, multiple sites "
73020,"Unspecified osteomyelitis, site unspecified "
73021,"Unspecified osteomyelitis, shoulder region "
73022,"Unspecified osteomyelitis, upper arm "
73023,"Unspecified osteomyelitis, forearm "
73024,"Unspecified osteomyelitis, hand "
73025,"Unspecified osteomyelitis, pelvic region and thigh "
73026,"Unspecified osteomyelitis, lower leg "
73027,"Unspecified osteomyelitis, ankle and foot "
73028,"Unspecified osteomyelitis, other specified sites "
73029,"Unspecified osteomyelitis, multiple sites "
73030,"Periostitis, without mention of osteomyelitis, site unspecified "
73031,"Periostitis, without mention of osteomyelitis, shoulder region "
73032,"Periostitis, without mention of osteomyelitis, upper arm "
73033,"Periostitis, without mention of osteomyelitis, forearm "
73034,"Periostitis, without mention of osteomyelitis, hand "
73035,"Periostitis, without mention of osteomyelitis, pelvic region and thigh "
73036,"Periostitis, without mention of osteomyelitis, lower leg "
73037,"Periostitis, without mention of osteomyelitis, ankle and foot "
73038,"Periostitis, without mention of osteomyelitis, other specified sites "
73039,"Periostitis, without mention of osteomyelitis, multiple sites "
73070,"Osteopathy resulting from poliomyelitis, site unspecified "
73071,"Osteopathy resulting from poliomyelitis, shoulder region "
73072,"Osteopathy resulting from poliomyelitis, upper arm "
73073,"Osteopathy resulting from poliomyelitis, forearm "
73074,"Osteopathy resulting from poliomyelitis, hand "
73075,"Osteopathy resulting from poliomyelitis, pelvic region and thigh "
73076,"Osteopathy resulting from poliomyelitis, lower leg "
73077,"Osteopathy resulting from poliomyelitis, ankle and foot "
73078,"Osteopathy resulting from poliomyelitis, other specified sites "
73079,"Osteopathy resulting from poliomyelitis, multiple sites "
73080,"Other infections involving bone in diseases classified elsewhere, site unspecified "
73081,"Other infections involving bone in diseases classified elsewhere, shoulder region "
73082,"Other infections involving bone in diseases classified elsewhere, upper arm "
73083,"Other infections involving bone in diseases classified elsewhere, forearm "
73084,"Other infections involving bone in diseases classified elsewhere, hand "
73085,"Other infections involving bone in diseases classified elsewhere, pelvic region and thigh "
73086,"Other infections involving bone in diseases classified elsewhere, lower leg "
73087,"Other infections involving bone in diseases classified elsewhere, ankle and foot "
73088,"Other infections involving bone in diseases classified elsewhere, other specified sites "
73089,"Other infections involving bone in diseases classified elsewhere, multiple sites "
73090,"Unspecified infection of bone, site unspecified "
73091,"Unspecified infection of bone, shoulder region "
73092,"Unspecified infection of bone, upper arm "
73093,"Unspecified infection of bone, forearm "
73094,"Unspecified infection of bone, hand "
73095,"Unspecified infection of bone, pelvic region and thigh "
73096,"Unspecified infection of bone, lower leg "
73097,"Unspecified infection of bone, ankle and foot "
73098,"Unspecified infection of bone, other specified sites "
73099,"Unspecified infection of bone, multiple sites "
7310, Osteitis deformans without mention of bone tumor 
7311, Osteitis deformans in diseases classified elsewhere 
7312, Hypertrophic pulmonary osteoarthropathy 
7313, Major osseous defects 
7318, Other bone involvement in diseases classified elsewhere 
7320, Juvenile osteochondrosis of spine 
7321, Juvenile osteochondrosis of hip and pelvis 
7322, Nontraumatic slipped upper femoral epiphysis 
7323, Juvenile osteochondrosis of upper extremity 
7324," Juvenile osteochondrosis of lower extremity, excluding foot "
7325, Juvenile osteochondrosis of foot 
7326, Other juvenile osteochondrosis 
7327, Osteochondritis dissecans 
7328, Other specified forms of osteochondropathy 
7329, Unspecified osteochondropathy 
73300,"Osteoporosis, unspecified "
73301,Senile osteoporosis 
73302,Idiopathic osteoporosis 
73303,Disuse osteoporosis 
73309,Other osteoporosis 
73310,"Pathologic fracture, unspecified site "
73311,Pathologic fracture of humerus 
73312,Pathologic fracture of distal radius and ulna 
73313,Pathologic fracture of vertebrae 
73314,Pathologic fracture of neck of femur 
73315,Pathologic fracture of other specified part of femur 
73316,Pathologic fracture of tibia or fibula 
73319,Pathologic fracture of other specified site 
73320,"Cyst of bone (localized), unspecified "
73321,Solitary bone cyst 
73322,Aneurysmal bone cyst 
73329,Other bone cyst 
7333, Hyperostosis of skull 
73340,"Aseptic necrosis of bone, site unspecified "
73341,Aseptic necrosis of head of humerus 
73342,Aseptic necrosis of head and neck of femur 
73343,Aseptic necrosis of medial femoral condyle 
73344,Aseptic necrosis of talus 
73345,"Aseptic necrosis of bone, jaw "
73349,"Aseptic necrosis of bone, other "
7335, Osteitis condensans 
7336, Tietze's disease 
7337, Algoneurodystrophy 
73381,Malunion of fracture 
73382,Nonunion of fracture 
73390,"Disorder of bone and cartilage, unspecified "
73391,Arrest of bone development or growth 
73392,Chondromalacia 
73393,Stress fracture of tibia or fibula 
73394,Stress fracture of the metatarsals 
73395,Stress fracture of other bone 
73396,Stress fracture of femoral neck 
73397,Stress fracture of shaft of femur 
73398,Stress fracture of pelvis 
73399,Other disorders of bone and cartilage 
734,  Flat foot 
7350, Hallux valgus (acquired) 
7351, Hallux varus (acquired) 
7352, Hallux rigidus 
7353, Hallux malleus 
7354, Other hammer toe (acquired) 
7355, Claw toe (acquired) 
7358, Other acquired deformities of toe 
7359, Unspecified acquired deformity of toe 
73600,"Unspecified deformity of forearm, excluding fingers "
73601,Cubitus valgus (acquired) 
73602,Cubitus varus (acquired) 
73603,Valgus deformity of wrist (acquired) 
73604,Varus deformity of wrist (acquired) 
73605,Wrist drop (acquired) 
73606,Claw hand (acquired) 
73607,"Club hand, acquired "
73609,"Other acquired deformities of forearm, excluding fingers "
7361, Mallet finger 
73620,Unspecified deformity of finger 
73621,Boutonniere deformity 
73622,Swan-neck deformity 
73629,Other acquired deformities of finger 
73630,Unspecified acquired deformity of hip 
73631,Coxa valga (acquired) 
73632,Coxa vara (acquired) 
73639,Other acquired deformities of hip 
73641,Genu valgum (acquired) 
73642,Genu varum (acquired) 
7365, Genu recurvatum (acquired) 
7366, Other acquired deformities of knee 
73670,"Unspecified deformity of ankle and foot, acquired "
73671,Acquired equinovarus deformity 
73672,"Equinus deformity of foot, acquired "
73673,"Cavus deformity of foot, acquired "
73674,"Claw foot, acquired "
73675,"Cavovarus deformity of foot, acquired "
73676,Other acquired calcaneus deformity 
73679,Other acquired deformities of ankle and foot 
73681,Unequal leg length (acquired) 
73689,Other acquired deformity of other parts of limb 
7369," Acquired deformity of limb, site unspecified "
7370, Adolescent postural kyphosis 
73710,Kyphosis (acquired) (postural) 
73711,Kyphosis due to radiation 
73712,"Kyphosis, postlaminectomy "
73719,Other kyphosis (acquired) 
73720,Lordosis (acquired) (postural) 
73721,"Lordosis, postlaminectomy "
73722,Other postsurgical lordosis 
73729,Other lordosis (acquired) 
73730,"Scoliosis [and kyphoscoliosis], idiopathic "
73731,Resolving infantile idiopathic scoliosis 
73732,Progressive infantile idiopathic scoliosis 
73733,Scoliosis due to radiation 
73734,Thoracogenic scoliosis 
73739,Other kyphoscoliosis and scoliosis 
73740,"Curvature of spine, unspecified, associated with other conditions "
73741,Kyphosis associated with other conditions 
73742,Lordosis associated with other conditions 
73743,Scoliosis associated with other conditions 
7378, Other curvatures of spine 
7379, Unspecified curvature of spine 
7380, Acquired deformity of nose 
73810,Unspecified acquired deformity of head 
73811,Zygomatic hyperplasia 
73812,Zygomatic hypoplasia 
73819,Other specified acquired deformity of head 
7382, Acquired deformity of neck 
7383, Acquired deformity of chest and rib 
7384, Acquired spondylolisthesis 
7385, Other acquired deformity of back or spine 
7386, Acquired deformity of pelvis 
7387, Cauliflower ear 
7388, Acquired deformity of other specified site 
7389, Acquired deformity of unspecified site 
7390," Nonallopathic lesions, head region "
7391," Nonallopathic lesions, cervical region "
7392," Nonallopathic lesions, thoracic region "
7393," Nonallopathic lesions, lumbar region "
7394," Nonallopathic lesions, sacral region "
7395," Nonallopathic lesions, pelvic region "
7396," Nonallopathic lesions, lower extremities "
7397," Nonallopathic lesions, upper extremities "
7398," Nonallopathic lesions, rib cage "
7399," Nonallopathic lesions, abdomen and other sites "
7400, Anencephalus 
7401, Craniorachischisis 
7402, Iniencephaly 
74100,"Spina bifida with hydrocephalus, unspecified region "
74101,"Spina bifida with hydrocephalus, cervical region "
74102,"Spina bifida with hydrocephalus, dorsal (thoracic) region "
74103,"Spina bifida with hydrocephalus, lumbar region "
74190,"Spina bifida without mention of hydrocephalus, unspecified region "
74191,"Spina bifida without mention of hydrocephalus, cervical region "
74192,"Spina bifida without mention of hydrocephalus, dorsal (thoracic) region "
74193,"Spina bifida without mention of hydrocephalus, lumbar region "
7420, Encephalocele 
7421, Microcephalus 
7422, Congenital reduction deformities of brain 
7423, Congenital hydrocephalus 
7424, Other specified congenital anomalies of brain 
74251,Diastematomyelia 
74253,Hydromyelia 
74259,Other specified congenital anomalies of spinal cord 
7428, Other specified congenital anomalies of nervous system 
7429," Unspecified congenital anomaly of brain, spinal cord, and nervous system "
74300,"Clinical anophthalmos, unspecified "
74303,"Cystic eyeball, congenital "
74306,Cryptophthalmos 
74310,"Microphthalmos, unspecified "
74311,Simple microphthalmos 
74312,Microphthalmos associated with other anomalies of eye and adnexa 
74320,"Buphthalmos, unspecified "
74321,Simple buphthalmos 
74322,Buphthalmos associated with other ocular anomalies 
74330,"Congenital cataract, unspecified "
74331,Congenital capsular and subcapsular cataract 
74332,Congenital cortical and zonular cataract 
74333,Congenital nuclear cataract 
74334,"Total and subtotal cataract, congenital "
74335,Congenital aphakia 
74336,Congenital anomalies of lens shape 
74337,Congenital ectopic lens 
74339,Other congenital cataract and lens anomalies 
74341,Congenital anomalies of corneal size and shape 
74342,"Corneal opacities, interfering with vision, congenital "
74343,"Other corneal opacities, congenital "
74344,"Specified congenital anomalies of anterior chamber, chamber angle, and related structures "
74345,Aniridia 
74346,Other specified congenital anomalies of iris and ciliary body 
74347,Specified congenital anomalies of sclera 
74348,Multiple and combined congenital anomalies of anterior segment 
74349,Other congenital anomalies of anterior segment 
74351,Vitreous anomalies 
74352,Fundus coloboma 
74353,"Chorioretinal degeneration, congenital "
74354,Congenital folds and cysts of posterior segment 
74355,Congenital macular changes 
74356,"Other retinal changes, congenital "
74357,Specified congenital anomalies of optic disc 
74358,Vascular anomalies 
74359,Other congenital anomalies of posterior segment 
74361,Congenital ptosis 
74362,Congenital deformities of eyelids 
74363,Other specified congenital anomalies of eyelid 
74364,Specified congenital anomalies of lacrimal gland 
74365,Specified congenital anomalies of lacrimal passages 
74366,Specified congenital anomalies of orbit 
74369,"Other congenital anomalies of eyelids, lacrimal system, and orbit "
7438, Other specified anomalies of eye 
7439, Unspecified anomaly of eye 
74400,Unspecified anomaly of ear with impairment of hearing 
74401,Absence of external ear 
74402,Other anomalies of external ear with impairment of hearing 
74403,"Anomaly of middle ear, except ossicles "
74404,Anomalies of ear ossicles 
74405,Anomalies of inner ear 
74409,Other anomalies of ear causing impairment of hearing 
7441, Accessory auricle 
74421,"Absence of ear lobe, congenital "
74422,Macrotia 
74423,Microtia 
74424,Specified anomalies of Eustachian tube 
74429,Other specified anomalies of ear 
7443, Unspecified anomaly of ear 
74441,Branchial cleft sinus or fistula 
74442,Branchial cleft cyst 
74443,Cervical auricle 
74446,Preauricular sinus or fistula 
74447,Preauricular cyst 
74449,Other branchial cleft cyst or fistula; preauricular sinus 
7445, Webbing of neck 
74481,Macrocheilia 
74482,Microcheilia 
74483,Macrostomia 
74484,Microstomia 
74489,Other specified congenital anomalies of face and neck 
7449, Unspecified congenital anomalies of face and neck 
7450, Common truncus 
74510,Complete transposition of great vessels 
74511,Double outlet right ventricle 
74512,Corrected transposition of great vessels 
74519,Other transposition of great vessels 
7452, Tetralogy of fallot 
7453, Common ventricle 
7454, Ventricular septal defect 
7455, Ostium secundum type atrial septal defect 
74560,"Endocardial cushion defect, unspecified type "
74561,Ostium primum defect 
74569,Other endocardial cushion defects 
7457, Cor biloculare 
7458, Other bulbus cordis anomalies and anomalies of cardiac septal closure 
7459, Unspecified defect of septal closure 
74600,"Congenital pulmonary valve anomaly, unspecified "
74601,"Atresia of pulmonary valve, congenital "
74602,"Stenosis of pulmonary valve, congenital "
74609,Other congenital anomalies of pulmonary valve 
7461," Tricuspid atresia and stenosis, congenital "
7462, Ebstein's anomaly 
7463, Congenital stenosis of aortic valve 
7464, Congenital insufficiency of aortic valve 
7465, Congenital mitral stenosis 
7466, Congenital mitral insufficiency 
7467, Hypoplastic left heart syndrome 
74681,Subaortic stenosis 
74682,Cor triatriatum 
74683,Infundibular pulmonic stenosis 
74684,"Obstructive anomalies of heart, not elsewhere classified "
74685,Coronary artery anomaly 
74686,Congenital heart block 
74687,Malposition of heart and cardiac apex 
74689,Other specified congenital anomalies of heart 
7469, Unspecified congenital anomaly of heart 
7470, Patent ductus arteriosus 
74710,Coarctation of aorta (preductal) (postductal) 
74711,Interruption of aortic arch 
74720,"Anomaly of aorta, unspecified "
74721,Anomalies of aortic arch 
74722,Atresia and stenosis of aorta 
74729,Other anomalies of aorta 
74731,Pulmonary artery coarctation and atresia 
74732,Pulmonary arteriovenous malformation 
74739,Other anomalies of pulmonary artery and pulmonary circulation 
74740,"Anomaly of great veins, unspecified "
74741,Total anomalous pulmonary venous connection 
74742,Partial anomalous pulmonary venous connection 
74749,Other anomalies of great veins 
7475, Absence or hypoplasia of umbilical artery 
74760,"Anomaly of the peripheral vascular system, unspecified site "
74761,Gastrointestinal vessel anomaly 
74762,Renal vessel anomaly 
74763,Upper limb vessel anomaly 
74764,Lower limb vessel anomaly 
74769,Anomalies of other specified sites of peripheral vascular system 
74781,Anomalies of cerebrovascular system 
74782,Spinal vessel anomaly 
74783,Persistent fetal circulation 
74789,Other specified anomalies of circulatory system 
7479, Unspecified anomaly of circulatory system 
7480, Choanal atresia 
7481, Other anomalies of nose 
7482, Web of larynx 
7483," Other anomalies of larynx, trachea, and bronchus "
7484, Congenital cystic lung 
7485," Agenesis, hypoplasia, and dysplasia of lung "
74860,"Anomaly of lung, unspecified "
74861,Congenital bronchiectasis 
74869,Other congenital anomalies of lung 
7488, Other specified anomalies of respiratory system 
7489, Unspecified anomaly of respiratory system 
74900,"Cleft palate, unspecified "
74901,"Cleft palate, unilateral, complete "
74902,"Cleft palate, unilateral, incomplete "
74903,"Cleft palate, bilateral, complete "
74904,"Cleft palate, bilateral, incomplete "
74910,"Cleft lip, unspecified "
74911,"Cleft lip, unilateral, complete "
74912,"Cleft lip, unilateral, incomplete "
74913,"Cleft lip, bilateral, complete "
74914,"Cleft lip, bilateral, incomplete "
74920,"Cleft palate with cleft lip, unspecified "
74921,"Cleft palate with cleft lip, unilateral, complete "
74922,"Cleft palate with cleft lip, unilateral, incomplete "
74923,"Cleft palate with cleft lip, bilateral, complete "
74924,"Cleft palate with cleft lip, bilateral, incomplete "
74925,Other combinations of cleft palate with cleft lip 
7500, Tongue tie 
75010,"Congenital anomaly of tongue, unspecified "
75011,Aglossia 
75012,Congenital adhesions of tongue 
75013,Fissure of tongue 
75015,Macroglossia 
75016,Microglossia 
75019,Other congenital anomalies of tongue 
75021,Absence of salivary gland 
75022,Accessory salivary gland 
75023,"Atresia, salivary duct "
75024,Congenital fistula of salivary gland 
75025,Congenital fistula of lip 
75026,Other specified anomalies of mouth 
75027,Diverticulum of pharynx 
75029,Other specified anomalies of pharynx 
7503," Tracheoesophageal fistula, esophageal atresia and stenosis "
7504, Other specified anomalies of esophagus 
7505, Congenital hypertrophic pyloric stenosis 
7506, Congenital hiatus hernia 
7507, Other specified anomalies of stomach 
7508, Other specified anomalies of upper alimentary tract 
7509, Unspecified anomaly of upper alimentary tract 
7510, Meckel's diverticulum 
7511, Atresia and stenosis of small intestine 
7512," Atresia and stenosis of large intestine, rectum, and anal canal "
7513, Hirschsprung's disease and other congenital functional disorders of colon 
7514, Anomalies of intestinal fixation 
7515, Other anomalies of intestine 
75160,"Unspecified anomaly of gallbladder, bile ducts, and liver "
75161,Biliary atresia 
75162,Congenital cystic disease of liver 
75169,"Other anomalies of gallbladder, bile ducts, and liver "
7517, Anomalies of pancreas 
7518, Other specified anomalies of digestive system 
7519, Unspecified anomaly of digestive system 
7520, Anomalies of ovaries 
75210,Unspecified anomaly of fallopian tubes and broad ligaments 
75211,Embryonic cyst of fallopian tubes and broad ligaments 
75219,Other anomalies of fallopian tubes and broad ligaments 
7522, Doubling of uterus 
75231,Agenesis of uterus 
75232,Hypoplasia of uterus 
75233,Unicornuate uterus 
75234,Bicornuate uterus 
75235,Septate uterus 
75236,Arcuate uterus 
75239,Other anomalies of uterus 
75240,"Unspecified anomaly of cervix, vagina, and external female genitalia "
75241,"Embryonic cyst of cervix, vagina, and external female genitalia "
75242,Imperforate hymen 
75243,Cervical agenesis 
75244,Cervical duplication 
75245,Vaginal agenesis 
75246,Transverse vaginal septum 
75247,Longitudinal vaginal septum 
75249,"Other anomalies of cervix, vagina, and external female genitalia "
75251,Undescended testis 
75252,Retractile testis 
75261,Hypospadias 
75262,Epispadias 
75263,Congenital chordee 
75264,Micropenis 
75265,Hidden penis 
75269,Other penile anomalies 
7527, Indeterminate sex and pseudohermaphroditism 
75281,Scrotal transposition 
75289,Other specified anomalies of genital organs 
7529, Unspecified anomaly of genital organs 
7530, Renal agenesis and dysgenesis 
75310,"Cystic kidney disease, unspecified "
75311,Congenital single renal cyst 
75312,"Polycystic kidney, unspecified type "
75313,"Polycystic kidney, autosomal dominant "
75314,"Polycystic kidney, autosomal recessive "
75315,Renal dysplasia 
75316,Medullary cystic kidney 
75317,Medullary sponge kidney 
75319,Other specified cystic kidney disease 
75320,Unspecified obstructive defect of renal pelvis and ureter 
75321,Congenital obstruction of ureteropelvic junction 
75322,Congenital obstruction of ureterovesical junction 
75323,Congenital ureterocele 
75329,Other obstructive defects of renal pelvis and ureter 
7533, Other specified anomalies of kidney 
7534, Other specified anomalies of ureter 
7535, Exstrophy of urinary bladder 
7536, Atresia and stenosis of urethra and bladder neck 
7537, Anomalies of urachus 
7538, Other specified anomalies of bladder and urethra 
7539, Unspecified anomaly of urinary system 
7540," Congenital musculoskeletal deformities of skull, face, and jaw "
7541, Congenital musculoskeletal deformities of sternocleidomastoid muscle 
7542, Congenital musculoskeletal deformities of spine 
75430,"Congenital dislocation of hip, unilateral "
75431,"Congenital dislocation of hip, bilateral "
75432,"Congenital subluxation of hip, unilateral "
75433,"Congenital subluxation of hip, bilateral "
75435,Congenital dislocation of one hip with subluxation of other hip 
75440,Genu recurvatum 
75441,Congenital dislocation of knee (with genu recurvatum) 
75442,Congenital bowing of femur 
75443,Congenital bowing of tibia and fibula 
75444,Congenital bowing of unspecified long bones of leg 
75450,Talipes varus 
75451,Talipes equinovarus 
75452,Metatarsus primus varus 
75453,Metatarsus varus 
75459,Other varus deformities of feet 
75460,Talipes valgus 
